id,nome,cognome,età,genere,ore_studio,assenze,media_voti,comportamento,esito_finale
1,Claudia,Galli,16,F,2.5,207,7.4,buono,promosso
2,Beatrice,Colombo,20,F,6.7,55,5.0,scarso,bocciato
3,Vincenzo,Rizzo,14,M,2.8,208,9.2,sufficiente,promosso
4,Paola,Cavallaro,18,F,5.7,196,8.7,sufficiente,promosso
5,Dino,Ferrari,14,M,3.7,201,5.6,buono,promosso
6,Cristina,Colombo,15,F,3.0,181,5.3,scarso,bocciato
7,Nicole,Moretti,14,F,3.8,211,5.3,buono,bocciato
8,Salvatore,Orlando,14,M,6.3,28,9.2,scarso,bocciato
9,Antonio,Bellini,20,M,6.9,2,8.5,scarso,bocciato
10,Sara,Longo,17,F,7.5,98,8.2,sufficiente,promosso
11,Marta,Giordano,16,F,3.4,19,9.4,buono,promosso
12,Filippo,Pellegrini,14,M,6.7,202,5.5,sufficiente,promosso
13,Tommaso,Russo,17,M,7.9,86,9.9,scarso,bocciato
14,Antonio,Russo,17,M,7.1,116,5.4,ottimo,promosso
15,Angela,Piras,18,F,1.2,78,7.9,buono,promosso
16,Paola,Monti,16,F,0.9,117,7.0,buono,promosso
17,Federico,Bruno,19,M,2.7,196,6.0,buono,promosso
18,Federica,Rinaldi,19,F,0.2,99,7.7,sufficiente,promosso
19,Maria,Martini,17,F,0.3,91,4.4,sufficiente,bocciato
20,Angela,Costa,17,F,2.2,164,8.5,buono,promosso
21,Alessia,Leone,18,F,7.0,129,6.1,sufficiente,promosso
22,Giuseppe,Mancini,16,M,5.7,18,6.6,sufficiente,promosso
23,Alessandro,Sala,14,M,1.5,181,6.3,buono,promosso
24,Roberto,Greco,15,M,6.4,55,4.5,buono,bocciato
25,Francesca,Mancini,14,F,4.9,109,6.4,scarso,bocciato
26,Elena,Fabbri,15,F,7.6,36,4.5,scarso,bocciato
27,Valentina,Rossi,17,F,4.0,154,4.8,sufficiente,bocciato
28,Roberto,Rinaldi,16,M,4.9,60,8.9,buono,promosso
29,Valentina,Romano,20,F,7.9,209,5.4,sufficiente,promosso
30,Filippo,Romano,19,M,4.2,194,6.1,sufficiente,promosso
31,Laura,Pdor,19,F,2.3,74,6.0,buono,promosso
32,Gabriele,Ferraro,18,M,6.2,56,9.2,sufficiente,promosso
33,Giulia,Fabbri,14,F,4.2,11,8.8,ottimo,promosso
34,Antonio,Martinelli,16,M,6.4,53,7.1,sufficiente,promosso
35,Matteo,Marchetti,20,M,1.6,220,7.4,buono,bocciato
36,Francesco,Bruno,16,M,3.1,219,7.3,sufficiente,promosso
37,Jack,Giordano,15,M,5.9,111,5.0,scarso,bocciato
38,Valentina,Bellini,20,F,3.2,64,6.0,sufficiente,promosso
39,Jack,Lopes,15,M,1.7,196,4.9,ottimo,bocciato
40,Silvia,Cavallaro,17,F,5.6,22,5.8,buono,promosso
41,Federica,Marino,18,F,6.3,215,6.6,ottimo,promosso
42,Dino,Conti,16,M,6.1,92,8.0,buono,promosso
43,Eleonora,Galli,16,F,4.4,175,6.6,sufficiente,promosso
44,Fabio,Ricci,20,M,4.9,109,4.2,sufficiente,bocciato
45,Alberto,Valentini,19,M,0.5,183,5.1,sufficiente,bocciato
46,Veronica,Piras,19,F,2.8,181,4.3,scarso,bocciato
47,Claudio,Piras,15,M,5.6,191,9.5,scarso,bocciato
48,Michele,Bianchi,17,M,1.9,210,5.8,sufficiente,promosso
49,Alice,Grassi,15,F,4.0,46,9.5,buono,promosso
50,Silvia,Costa,16,F,2.4,155,8.3,sufficiente,promosso
51,Enrico,Orlando,16,M,0.5,40,6.2,sufficiente,promosso
52,Elisa,Fontana,15,F,7.7,52,7.1,sufficiente,promosso
53,Veronica,Monti,19,F,1.3,202,6.7,buono,promosso
54,Simona,Rossi,14,F,6.3,81,9.9,sufficiente,promosso
55,Barbara,Russo,18,F,7.8,189,7.8,sufficiente,promosso
56,Lorenzo,Villa,19,M,0.9,78,9.1,sufficiente,promosso
57,Beatrice,Bianchi,20,F,4.8,201,4.2,sufficiente,bocciato
58,Maria,Sanna,20,F,6.1,61,6.7,sufficiente,promosso
