id,nome,cognome,età,genere,ore_studio,assenze,media_voti,comportamento,esito_finale
1,Roberta,Villa,19,F,6.7,195,8.3,scarso,bocciato
2,Ilaria,Serra,19,F,2.7,217,7.0,sufficiente,promosso
3,Salvatore,Serra,17,M,4.0,83,7.1,sufficiente,promosso
4,Chiara,Gentile,18,F,4.1,217,5.8,sufficiente,promosso
5,Maria,Grassi,15,F,0.5,78,9.7,sufficiente,promosso
6,Alberto,Galli,14,M,2.9,170,7.9,scarso,bocciato
7,Claudia,Cavallaro,18,F,6.0,63,8.1,sufficiente,promosso
8,Paola,Russo,19,F,0.4,93,5.6,ottimo,promosso
9,Simona,Barbieri,18,F,1.2,108,6.7,ottimo,promosso
10,Valentina,Greco,14,F,4.6,216,7.2,sufficiente,promosso
11,Jack,Martinelli,16,M,7.4,122,7.5,ottimo,promosso
12,Davide,Russo,14,M,0.5,193,5.3,scarso,bocciato
13,Jack,Conti,17,M,0.2,195,7.8,buono,promosso
14,Veronica,Leone,14,F,2.7,130,6.1,sufficiente,promosso
15,Ilaria,Cattaneo,16,F,7.6,220,5.4,sufficiente,bocciato
16,Davide,Costa,15,M,1.1,53,8.4,sufficiente,promosso
17,Laura,Costa,15,F,1.2,169,8.6,ottimo,promosso
18,Andrea,Rinaldi,14,M,7.3,126,8.9,buono,promosso
19,Maurizio,Rinaldi,19,M,3.6,72,5.0,sufficiente,bocciato
20,Vincenzo,Bruno,17,M,1.0,140,5.1,buono,bocciato
21,Daniele,Hallal,15,M,6.6,1,6.0,scarso,bocciato
22,Riccardo,Fabbri,18,M,6.4,198,8.3,buono,promosso
23,Roberta,Sanna,18,F,1.5,217,7.5,buono,promosso
24,Eleonora,Orlando,15,F,0.4,179,4.9,ottimo,bocciato
25,Matteo,Sanna,17,M,2.6,160,8.6,sufficiente,promosso
26,Maria,Mancini,17,F,0.9,34,4.6,buono,bocciato
27,Jack,Farina,20,M,5.5,121,8.6,ottimo,promosso
28,Francesco,Lopes,17,M,6.6,210,8.1,ottimo,promosso
29,Sofia,Gallo,17,F,6.6,151,8.4,scarso,bocciato
30,Marco,Ricci,14,M,6.1,133,5.9,ottimo,promosso
31,Martina,Rinaldi,20,F,6.0,175,5.7,sufficiente,promosso
32,Alberto,Zhing,18,M,4.7,136,8.9,ottimo,promosso
33,Marco,De Santis,14,M,6.0,4,4.0,buono,bocciato
34,Riccardo,Martini,18,M,4.1,57,6.3,scarso,bocciato
35,Laura,Fontana,19,F,3.6,133,4.3,scarso,bocciato
36,Gabriele,Conti,19,M,6.3,132,8.3,buono,promosso
37,Maria,Zhing,15,F,6.7,23,7.7,ottimo,promosso
38,Claudio,Fabbri,17,M,3.8,16,5.7,scarso,bocciato
39,Pdor,Marchetti,15,M,4.7,54,4.5,scarso,bocciato
40,Nicole,Gentile,14,F,4.8,140,7.1,scarso,bocciato
41,Paola,Rossi,19,F,4.1,191,4.9,scarso,bocciato
42,Eleonora,Bellini,15,F,3.6,16,9.6,sufficiente,promosso
43,Simone,Valentini,20,M,6.3,125,6.5,sufficiente,promosso
44,Nicola,Sanna,14,M,7.6,66,5.8,sufficiente,promosso
45,Matteo,Pdor,20,M,4.6,155,7.9,sufficiente,promosso
46,Giulia,Russo,15,F,1.7,214,4.4,buono,bocciato
47,Alessia,Sala,18,F,3.5,23,7.9,sufficiente,promosso
48,Alberto,Bianchi,14,M,2.6,148,7.9,scarso,bocciato
49,Sara,Fabbri,17,F,5.9,111,8.1,sufficiente,promosso
50,Luca,Santoro,16,M,2.8,83,7.8,buono,promosso
51,Angela,Barbieri,18,F,3.4,34,7.3,sufficiente,promosso
52,Nicole,Valentini,15,F,6.9,123,4.5,ottimo,bocciato
53,Jack,Zhing,19,M,3.9,145,4.3,sufficiente,bocciato
54,Nicole,Caruso,14,F,4.5,10,6.5,sufficiente,promosso
55,Martina,Leone,17,F,2.7,211,6.1,scarso,bocciato
56,Marco,Esposito,14,M,2.6,135,9.2,buono,promosso
