id,nome,cognome,età,genere,ore_studio,assenze,media_voti,comportamento,esito_finale
1,Marco,Crodino,14,M,1.0,129,5.9,sufficente,promosso
2,Sara,De Santis,19,F,1.9,148,8.4,sufficente,promosso
3,Agamennone,Hallal,19,M,7.5,22,5.5,sufficente,promosso
4,Alessandro,Fabbri,18,M,6.5,178,9.3,ottimo,promosso
5,Riccardo,Orlando,17,M,5.0,217,9.7,sufficente,promosso
6,Paolo,Orlando,20,M,6.8,63,6.9,sufficente,promosso
7,Luca,Hallal,20,M,4.6,19,8.1,buono,promosso
8,Cristina,Sala,17,F,5.0,139,5.8,buono,promosso
9,Jack,Gallo,19,M,7.4,43,9.4,sufficente,promosso
10,Vincenzo,Gentile,20,M,0.0,4,6.6,ottimo,promosso
11,Luca,Caruso,19,M,1.7,103,7.5,buono,promosso
12,Marta,Lombardi,19,F,0.8,6,8.4,sufficente,promosso
13,Angela,Pdor,16,F,2.7,189,8.2,ottimo,promosso
14,Marco,Conti,16,M,5.1,141,8.0,buono,promosso
15,Stefano,Piras,14,M,2.7,142,6.0,sufficente,promosso
16,Enrico,Caruso,19,M,2.5,168,5.8,buono,promosso
17,Ilaria,Grassi,17,F,2.8,80,5.0,buono,bocciato
18,Claudia,Giordano,15,F,5.6,77,7.0,buono,promosso
19,Jack,Pellegrini,14,M,0.7,62,8.0,sufficente,promosso
20,Nicola,De Santis,18,M,1.2,172,9.6,buono,promosso
21,Veronica,Martinelli,19,F,3.1,199,7.1,sufficente,promosso
22,Tommaso,Longo,16,M,2.7,93,7.1,sufficente,promosso
23,Simona,Rossi,15,F,2.1,133,6.0,buono,promosso
24,Giuseppe,Sanna,15,M,3.7,140,5.8,sufficente,promosso
25,Daniele,Conti,15,M,2.8,5,5.6,sufficente,promosso
26,Beatrice,Bruno,20,F,3.0,9,8.7,sufficente,promosso
27,Marco,Fabbri,14,M,3.3,58,6.0,buono,promosso
28,Marta,Piras,17,F,3.3,98,7.6,sufficente,promosso
29,Alice,Sanna,18,F,6.0,50,6.6,scarso,bocciato
30,Camilla,Colombo,18,F,5.2,110,9.9,sufficente,promosso
31,Eleonora,Crodino,18,F,1.0,151,9.6,buono,promosso
32,Maria,Mariani,19,F,3.4,1,4.9,ottimo,bocciato
33,Paolo,Mancini,15,M,4.4,32,6.4,buono,promosso
34,Gabriele,Romano,14,M,6.1,103,6.4,scarso,bocciato
35,Federica,Rossi,20,F,1.9,48,6.0,sufficente,promosso
36,Stefano,Farina,15,M,1.3,56,5.4,sufficente,promosso
37,Marco,Bruno,15,M,7.7,19,4.2,buono,bocciato
38,Riccardo,Conti,20,M,1.8,70,8.7,buono,promosso
39,Andrea,Valentini,20,F,2.9,42,7.2,ottimo,promosso
40,Alessia,Bianchi,17,F,4.2,53,9.4,buono,promosso
41,Eleonora,Costa,15,F,6.5,119,7.5,buono,promosso
42,Davide,Conti,17,M,2.6,70,6.6,sufficente,promosso
43,Tommaso,Sala,15,M,3.1,83,4.4,buono,bocciato
44,Laura,Pellegrini,19,F,6.6,176,8.0,sufficente,promosso
45,Alessandra,Russo,20,F,5.2,188,4.4,sufficente,bocciato
46,Ezechiele,Romano,18,M,4.8,183,4.6,scarso,bocciato
47,Camilla,Esposito,18,F,4.1,43,7.1,sufficente,promosso
48,Elena,Gentile,16,F,6.6,120,4.6,sufficente,bocciato
49,Elisa,Gallo,14,F,4.7,171,5.9,sufficente,promosso
50,Francesca,Cavallaro,19,F,0.6,220,6.9,buono,bocciato
51,Sofia,Conti,20,F,4.8,216,4.1,scarso,bocciato
52,Agamennone,Santoro,14,M,1.3,3,5.1,scarso,bocciato
53,Beatrice,Bianchi,15,F,6.4,95,6.1,scarso,bocciato
54,Davide,Fontana,18,M,4.1,139,8.9,scarso,bocciato
55,Alessandro,Fabbri,17,M,2.8,75,8.7,scarso,bocciato
56,Alice,Costa,16,F,3.9,157,6.1,scarso,bocciato
57,Ilaria,Piras,15,F,1.0,116,4.6,sufficente,bocciato
58,Nicola,Orlando,14,M,6.3,16,9.4,buono,promosso
59,Roberto,Cattaneo,14,M,7.5,22,5.1,sufficente,bocciato
60,Agamennone,Costa,16,M,4.1,163,4.4,sufficente,bocciato
61,Anna,Orlando,17,F,2.1,56,4.8,sufficente,bocciato
62,Ilaria,Galli,16,F,3.7,28,8.3,sufficente,promosso
63,Paola,Marchetti,17,F,3.3,144,7.6,sufficente,promosso
64,Filippo,Crodino,17,M,7.2,54,7.0,ottimo,promosso
65,Matteo,Costa,14,M,5.7,55,8.9,sufficente,promosso
66,Nicole,De Luca,14,F,0.8,102,8.8,sufficente,promosso
67,Ilaria,Grassi,14,F,4.0,33,6.4,sufficente,promosso
68,Simone,Grassi,17,M,7.5,140,8.1,sufficente,promosso
69,Alberto,Longo,15,M,5.0,62,4.3,buono,bocciato
70,Alfio,Farina,15,M,4.5,60,6.0,sufficente,promosso
71,Paola,Rinaldi,19,F,4.6,63,9.3,scarso,bocciato
72,Filippo,Monti,20,M,3.1,146,6.8,sufficente,promosso
73,Federico,Bianchi,16,M,2.4,31,5.4,scarso,bocciato
74,Sara,Cattaneo,16,F,0.8,183,6.1,buono,promosso
75,Chiara,Rizzo,17,F,6.6,37,5.2,buono,bocciato
