id,nome,cognome,età,genere,ore_studio,assenze,media_voti,comportamento,esito_finale
1,Agamennone,Ricci,15,M,2.7,53,9.1,sufficiente,promosso
2,Claudia,Lombardi,14,F,6.7,113,10.0,sufficiente,promosso
3,Laura,Lopes,14,F,4.3,36,8.9,sufficiente,promosso
4,Filippo,Monti,14,M,4.6,90,4.5,ottimo,bocciato
5,Agamennone,Santoro,15,M,1.8,212,5.7,sufficiente,promosso
6,Martina,Galli,19,F,1.2,194,5.2,ottimo,bocciato
7,Jack,Lombardi,14,M,1.1,6,9.0,buono,promosso
8,Angela,Crodino,19,F,4.5,197,4.2,buono,bocciato
9,Cristina,Crodino,14,F,6.5,199,8.6,sufficiente,promosso
10,Salvatore,Moretti,17,M,6.3,86,5.9,ottimo,promosso
11,Andrea,Gallo,14,M,7.7,67,7.8,buono,promosso
12,Anna,Bruno,18,F,2.0,110,5.4,sufficiente,promosso
13,Salvatore,Monti,19,M,7.5,77,4.7,sufficiente,bocciato
14,Alessandra,Giordano,20,F,1.6,113,5.9,sufficiente,promosso
15,Paolo,Barbieri,19,M,3.9,47,7.3,buono,promosso
16,Lorenzo,Bruno,16,M,1.2,121,9.8,sufficiente,promosso
17,Claudio,Sanna,20,M,2.5,122,9.3,buono,promosso
18,Alessandro,Villa,15,M,6.4,140,7.9,buono,promosso
19,Valentina,Gallo,18,F,3.8,99,4.6,sufficiente,bocciato
20,Francesca,Colombo,16,F,5.5,137,8.6,sufficiente,promosso
21,Lorenzo,Rinaldi,18,M,3.8,118,4.0,sufficiente,bocciato
22,Sofia,Monti,17,F,1.3,36,9.9,scarso,bocciato
23,Chiara,Monti,14,F,4.3,136,4.9,scarso,bocciato
24,Federico,Piras,17,M,0.9,141,6.0,scarso,bocciato
25,Andrea,Bruno,14,M,3.2,168,4.3,buono,bocciato
26,Pdor,Farina,17,M,7.3,144,5.2,sufficiente,bocciato
27,Sofia,Sala,16,F,6.2,178,5.4,sufficiente,promosso
28,Andrea,Orlando,20,F,6.9,7,4.8,ottimo,bocciato
29,Riccardo,Zhing,15,M,0.7,186,9.1,sufficiente,promosso
30,Eleonora,Fabbri,14,F,2.4,111,4.1,sufficiente,bocciato
31,Roberto,Mariani,14,M,2.5,36,5.4,sufficiente,promosso
32,Silvia,Ferraro,14,F,2.0,128,7.0,buono,promosso
